id,full_name,weight_class_description,elo,fight_count
345,Marcio Cruz,Heavyweight,1012,5
346,Lyoto Machida,Middleweight,1229,25
347,Roan Carneiro,Welterweight,1001,10
348,Quinton Jackson,Light Heavyweight,1087,14
349,Justin Eilers,Heavyweight,981,5
350,Joe Jordan,,986,2
351,Drew McFedries,Middleweight,966,10
352,Duane Ludwig,Welterweight,1002,10
353,Roman Mitichyan,Welterweight,1001,3
354,Rob MacDonald,Light Heavyweight,988,4
355,James Irvin,Light Heavyweight,976,11
356,Josh Thomson,Lightweight,1016,8
357,Matt Horwich,Middleweight,961,3
358,Wilson Gouveia,Middleweight,1084,11
359,Corey Hill,Lightweight,979,4
360,Wesley Correira,Heavyweight,1027,5
361,BJ Penn,Featherweight,1038,28
362,Scott Junk,Heavyweight,976,2
363,Derrick Noble,Welterweight,991,2
364,Anthony Torres,Welterweight,1005,3
365,Steve Vigneault,Middleweight,988,2
366,Dennis Siver,Featherweight,1045,22
367,Andrei Arlovski,Heavyweight,1167,43
368,Michael Bisping,Middleweight,1598,30
369,Alexandre Dantas,Heavyweight,952,3
370,Gerald Strebendt,Lightweight,975,2
371,Benji Radach,Middleweight,1013,4
372,Nate Marquardt,Middleweight,1054,26
373,Kurt Pellegrino,Lightweight,1043,13
374,Gray Maynard,Featherweight,1129,21
375,Gabriel Gonzaga,Heavyweight,1046,23
376,Scott Smith,Middleweight,958,5
377,Frank Mir,Heavyweight,1159,28
378,David Bielkheden,Lightweight,975,4
379,Mike Swick,Welterweight,1127,16
380,Forrest Griffin,Light Heavyweight,1115,16
381,John Alessio,Lightweight,919,6
382,Pat Barry,Heavyweight,971,13
383,Jonathan Goulet,Welterweight,984,10
384,Leonard Garcia,Featherweight,909,10
385,Kazuhiro Nakamura,Light Heavyweight,955,3
386,Wes Sims,Heavyweight,954,4
387,Rashad Evans,Middleweight,1213,24
388,Brad Morris,Light Heavyweight,953,3
389,Gerald Harris,Middleweight,1058,5
390,Richard Crunkilton,Lightweight,986,2
391,Seth Petruzelli,Light Heavyweight,927,5
392,Drew Fickett,Lightweight,1049,8
393,David Loiseau,Middleweight,1015,10
394,Ansar Chalangov,Welterweight,979,3
395,Mac Danzig,Lightweight,977,14
396,Jason Day,Middleweight,991,4
397,Dale Hartt,Lightweight,989,4
398,David Kaplan,Lightweight,950,3
399,Eliot Marshall,Light Heavyweight,1036,7
400,Phillip Miller,Middleweight,1052,3
401,Jorge Santiago,Welterweight,954,7
402,Paul Taylor,Lightweight,975,10
403,Ross Pointon,Welterweight,963,3
404,Rousimar Palhares,Welterweight,1099,13
405,Patrick Cote,Welterweight,1025,22
406,Mike Kyle,Light Heavyweight,1031,4
407,Joshua Burkman,Lightweight,908,20
408,Justin Levens,Middleweight,953,3
409,Luke Cummo,Welterweight,994,8
410,Rob Yundt,Middleweight,951,3
411,Jason Dent,Lightweight,971,5
412,Sam Hoger,Light Heavyweight,1011,6
413,Brodie Farber,Welterweight,951,3
414,Chris Leben,Middleweight,1043,23
415,Charles McCarthy,Middleweight,980,4
416,Amir Sadollah,Welterweight,1044,12
417,Doug Evans,Lightweight,953,3
418,Terry Martin,Middleweight,977,7
419,Ed Herman,Light Heavyweight,1031,27
420,Luke Caudillo,Lightweight,951,3
421,Jason Miller,Welterweight,969,4
422,Josh Shockman,Heavyweight,976,2
424,Kevin Burns,Welterweight,994,6
425,Per Eklund,Lightweight,979,4
426,Brian Geraghty,Lightweight,978,2
427,Icho Larenas,Heavyweight,975,2
428,Nate Loughran,Middleweight,1000,3
429,Troy Mandaloniz,Welterweight,1001,3
430,Josh Rafferty,Welterweight,977,2
431,Aaron Riley,Lightweight,947,10
432,Matt Brown,Welterweight,1130,31
433,Luigi Fioravanti,Welterweight,985,10
434,Carmelo Marrero,Light Heavyweight,974,5
435,Tim Boetsch,Middleweight,1025,25
436,Antonio Mendes,Light Heavyweight,952,3
437,Luiz Cane,Light Heavyweight,991,10
