Matt Wiman,1054,Michihiro Omigawa,956,27.751905857134908
Jon Fitch,1031,Diego Sanchez,1029,27.751905857134908
Tyson Griffin,1054,Thiago Tavares,956,27.751905857134908
Jeremy Stephens,1052,Diego Saraiva,976,26.494894794630387
Forrest Griffin,1028,Mauricio Rua,975,25.17269113521088
Christian Wellisch,1002,Scott Junk,976,26.38014640179387
Rich Clementi,1082,Anthony Johnson,1005,26.552245599820917
Lyoto Machida,1080,Kazuhiro Nakamura,955,29.274933933590475
Keith Jardine,1028,Chuck Liddell,978,25.0
Nate Quarry,1027,Pete Sell,1001,26.38014640179387
Luke Cummo,980,Edilberto de Oliveira,978,27.751905857134908
Thiago Alves,1140,Kuniyoshi Hironaka,958,32.3728806214626
Chris Leben,1030,Terry Martin,953,26.552245599820917
Cole Miller,1027,Leonard Garcia,975,25.115128440785174
Dustin Hazelett,1054,Jonathan Goulet,1001,25.17269113521088
Nate Diaz,1108,Junior Assuncao,979,29.49810187450639
Kenny Florian,1108,Din Thomas,957,30.711429801843654
Gray Maynard,1110,Joe Veres,959,30.711429801843654
Thiago Silva,1082,Tomasz Drwal,978,28.092568894286384
Gleison Tibau,980,Terry Etim,981,27.922374913163306
Michael Bisping,1083,Matt Hamill,1004,26.666897420984338
Quinton Jackson,1028,Dan Henderson,976,25.115128440785174
Dennis Siver,982,Naoyuki Kotani,978,27.638114719461782
Houston Alexander,960,Alessio Sakara,1009,30.60219530083294
Marcus Davis,1056,Paul Taylor,954,27.979137573487062
Cheick Kongo,1059,Mirko Filipovic,977,26.83874168059085
Jess Liaudin,957,Anthony Torres,979,29.107094053150195
Clay Guida,1059,Marcus Aurelio,981,26.60958000882759
Renato Sobral,1026,David Heath,951,26.43752819461343
Thales Leites,1080,Ryan Jensen,937,30.273153561537825
Frank Mir,1078,Antoni Hardonk,1058,26.724197236341574
Roger Huerta,1032,Alberto Crane,952,26.724197236341574
Joe Stevenson,1005,Kurt Pellegrino,1003,27.751905857134908
Randy Couture,1003,Gabriel Gonzaga,1006,28.035869092344367
Georges St-Pierre,1107,Josh Koscheck,1030,26.552245599820917
Patrick Cote,1053,Kendall Grove,979,26.38014640179387
Kenny Florian,1140,Alvin Robinson,962,32.162082219049005
Sean Sherk,1026,Hermes Franca,976,25.0
Chris Lytle,1030,Jason Gilliam,975,25.287810420557243
Frankie Edgar,1054,Mark Bocek,1003,25.057564525591136
Jorge Gurgel,981,Diego Saraiva,952,26.207915896224332
Anderson Silva,1132,Nate Marquardt,1005,29.38660806806484
Stephan Bonnar,1052,Mike Nickels,976,26.494894794630387
Antonio Rodrigo Nogueira,1026,Heath Herring,980,25.23025199854883
Nate Diaz,1138,Manvel Gamburyan,1006,29.664995112562593
Thales Leites,1110,Floyd Sword,980,29.553779815747173
Leonard Garcia,1001,Allen Berube,976,26.43752819461343
Roger Huerta,1060,Doug Evans,953,28.26247226400089
BJ Penn,1080,Jens Pulver,978,27.979137573487062
Matt Wiman,1082,Brian Geraghty,978,28.092568894286384
Joe Lauzon,1052,Brandon Melendez,976,26.494894794630387
Cole Miller,1054,Andy Wang,977,26.552245599820917
Tyson Griffin,1079,Clay Guida,1034,25.287810420557243
Ed Herman,1006,Scott Smith,976,26.150479364878116
Jason MacDonald,997,Rory Singer,986,15.655818395976965
Marcus Davis,1086,Jason Tan,956,29.553779815747173
Forrest Griffin,1055,Hector Ramirez,977,26.60958000882759
Rich Franklin,1056,Yushin Okami,1059,28.035869092344367
Dustin Hazelett,1082,Stevie Lynch,978,28.092568894286384
Eddie Sanchez,1006,Colin Robinson,953,25.17269113521088
Thiago Tavares,982,Jason Black,951,26.09303065996161
Gleison Tibau,1005,Jeff Cox,951,25.23025199854883
Forrest Petz,1007,Luigi Fioravanti,1005,27.751905857134908
Tamdan McCrory,1003,Pete Spratt,976,26.3227500188367
Anthony Johnson,1030,Chad Reiner,975,25.287810420557243
Drew McFedries,980,Jordan Radev,951,26.207915896224332
Spencer Fisher,1056,Sam Stout,959,27.6950244109439
Nate Mohr,1000,Luke Caudillo,951,25.057564525591136
Jon Fitch,1059,Roan Carneiro,959,27.865581688114638
Terry Martin,979,Ivan Salaverry,952,26.3227500188367
Quinton Jackson,1056,Chuck Liddell,956,27.865581688114638
Din Thomas,987,Jeremy Stephens,1032,30.383053206340993
Kalib Starnes,982,Chris Leben,1009,29.38660806806484
Houston Alexander,989,Keith Jardine,1007,28.88271686373659
Wilson Gouveia,1086,Carmelo Marrero,978,28.31903947044294
Karo Parisyan,1031,Joshua Burkman,939,27.4102051749758
Thiago Silva,1110,James Irvin,1007,28.035869092344367
Alan Belcher,1057,Sean Salmon,977,26.724197236341574
Paul Taylor,980,Edilberto de Oliveira,954,26.38014640179387
Lyoto Machida,1112,David Heath,933,32.214887437040716
Gabriel Gonzaga,1033,Mirko Filipovic,954,26.666897420984338
Junior Assuncao,1005,David Lee,976,26.207915896224332
Cheick Kongo,1087,Assuerio Silva,978,28.375572102909803
Michael Bisping,1101,Elvis Sinosic,988,17.832318845466503
Andrei Arlovski,1051,Fabricio Werdum,1004,25.17269113521088
Terry Etim,1009,Matt Grice,1003,27.524212933215797
Alessio Sakara,1035,Victor Valimaki,976,25.518007494626772
Jess Liaudin,983,Dennis Siver,958,26.43752819461343
Luke Cummo,1006,Josh Haynes,976,26.150479364878116
Josh Koscheck,1045,Diego Sanchez,1014,15.034538715354682
Kendall Grove,1008,Alan Belcher,1036,29.4423777805431
Marcus Davis,1105,Pete Spratt,965,18.720052758530016
Yushin Okami,1085,Mike Swick,1056,26.207915896224332
Roger Huerta,1088,Leonard Garcia,979,28.375572102909803
Thales Leites,1141,Pete Sell,982,31.146033086377756
Matt Serra,1008,Georges St-Pierre,1089,32.320287055387595
Heath Herring,1006,Brad Imes,976,26.150479364878116
Kuniyoshi Hironaka,986,Forrest Petz,985,27.808758476352434
Justin McCully,1028,Antoni Hardonk,1036,28.31903947044294
Joe Stevenson,1030,Melvin Guillard,975,25.287810420557243
Wilson Gouveia,1104,Seth Petruzelli,988,17.932109146477885
Roan Carneiro,991,Rich Clementi,1064,31.89701896040691
Drew Fickett,1026,Keita Nakamura,952,26.38014640179387
Thiago Tavares,997,Naoyuki Kotani,963,15.138151199129299
Kurt Pellegrino,1028,Nate Mohr,975,25.17269113521088
Kenny Florian,1160,Dokonjonosuke Mishima,990,19.674615177371848
Jamie Varner,1026,Jason Gilliam,951,26.43752819461343
Jon Fitch,1087,Luigi Fioravanti,983,28.092568894286384
Rich Franklin,1084,Jason MacDonald,975,28.375572102909803
Jason Lambert,963,Renato Sobral,1006,30.273153561537825
Matt Hughes,984,Chris Lytle,1009,29.274933933590475
Randy Couture,1028,Tim Sylvia,976,25.115128440785174
Matt Hamill,1029,Rex Holman,975,25.23025199854883
Gleison Tibau,1030,Jason Dent,975,25.287810420557243
Martin Kampmann,1027,Drew McFedries,956,26.207915896224332
Anderson Silva,1152,Travis Lutter,966,20.167680955082037
Roger Huerta,1107,John Halverson,967,18.720052758530016
Dustin Hazelett,1101,Diego Saraiva,941,19.36057351318147
Lyoto Machida,1143,Sam Hoger,981,31.30801205210266
Patrick Cote,1082,Scott Smith,955,29.38660806806484
Frankie Edgar,1080,Tyson Griffin,1055,26.43752819461343
Quinton Jackson,1084,Marvin Eastman,982,27.979137573487062
Mirko Filipovic,982,Eddie Sanchez,984,27.979137573487062
Terry Martin,1005,Jorge Rivera,980,26.43752819461343
Jake O'Brien,979,Heath Herring,984,28.14923640517979
Rich Clementi,1081,Ross Pointon,987,17.194618112510433
Joshua Burkman,955,Chad Reiner,961,16.240555857036796
Ed Herman,1031,Chris Price,975,25.34536579109788
Hermes Franca,1006,Spencer Fisher,1036,29.553779815747173
Nate Marquardt,1031,Dean Lister,1002,26.207915896224332
Din Thomas,1015,Clay Guida,1012,27.6950244109439
Rashad Evans,1109,Sean Salmon,958,30.711429801843654
Thiago Alves,1160,Tony DeSouza,968,20.349440797335703
Jason MacDonald,991,Chris Leben,995,16.171925134352236
Christian Wellisch,1027,Anthony Perosh,975,25.115128440785174
Andrei Arlovski,1079,Marcio Cruz,978,27.922374913163306
Yushin Okami,1103,Rory Singer,974,18.361317180499764
Michael Bisping,1119,Eric Schafer,989,18.394104604594293
Keith Jardine,1035,Forrest Griffin,1033,27.751905857134908
Chuck Liddell,982,Tito Ortiz,951,26.09303065996161
Gabriel Gonzaga,1050,Carmelo Marrero,965,16.889541843107875
Diego Sanchez,1040,Joe Riggs,976,25.8056257406335
Luigi Fioravanti,999,Dave Menne,986,15.58685949112503
Alan Belcher,1052,Jorge Santiago,986,16.240555857036796
David Heath,960,Victor Valimaki,953,27.467222007608445
Josh Koscheck,1062,Jeff Joslin,987,16.548706419328816
Logan Clark,1025,Steve Byrnes,975,25.0
Marcus Davis,1124,Shonie Carter,989,18.55752366267092
Brock Larson,1028,Keita Nakamura,930,27.751905857134908
Karo Parisyan,1056,Drew Fickett,1001,25.287810420557243
Antoni Hardonk,1052,Sherman Pendergarst,986,16.240555857036796
James Irvin,1034,Hector Ramirez,954,26.724197236341574
Nick Diaz,1027,Gleison Tibau,1007,26.724197236341574
Joe Stevenson,1046,Dokonjonosuke Mishima,976,16.377657683414512
Jake O'Brien,1005,Josh Shockman,976,26.207915896224332
Georges St-Pierre,1108,Matt Hughes,973,18.55752366267092
Tim Sylvia,1002,Jeff Monson,976,26.38014640179387
Drew McFedries,974,Alessio Sakara,1023,17.698861124703832
Brandon Vera,983,Frank Mir,1060,32.10920728904364
Martin Kampmann,1058,Thales Leites,1122,31.415685655116366
Pete Spratt,992,Jeremy Jackson,977,27.010411416187285
Travis Lutter,998,Patrick Cote,1064,31.523105060219848
Jorge Rivera,1006,Edwin DeWees,976,26.150479364878116
Din Thomas,1044,Rich Clementi,1060,28.770284997974677
Charles McCarthy,1004,Gideon Ray,976,26.265339649022927
Scott Smith,982,Pete Sell,959,26.552245599820917
